Morpho_ID,Sample_Number,Morphospecies,Class,Order,Family,Genus,Species,Species_Name,Common_Name,ID_Level,Trophic,Size,Hunting Style,Intro_Native,Wings,Duplicates,NOTES
1,No_Sample,Fly_5,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
2,No_Sample,Red_Hemiptera,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,Unknown,NA,Unknown,Unknown,NA,
3,No_Sample,Large_Orb_Weaving,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaving_Spiders,Family,Predator,NA,Web,Unknown,Wingless,NA,
4,No_Sample,Medium_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Web,Unknown,Wingless,NA,
5,No_Sample,Small_Hemi_Red,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,Unknown,NA,Unknown,Unknown,NA,
6,No_Sample,Hemi_Light,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,Unknown,NA,Unknown,Unknown,NA,
7,No_Sample,Pale_Psyllid,Insecta,Hemiptera,NA,NA,NA,NA,Psyllid,Order,Herbivore,Unknown,NA,Unknown,Develops_Wings,NA,
8,No_Sample,Grasshopper_Medium,Insecta,Orthoptera,NA,NA,NA,NA,Grasshopper,Order,Herbivore,Unknown,NA,Unknown,Always_Winged,NA,
9,No_Sample,Brown_Mottled_Moth,Insecta,Lepidoptera,NA,NA,NA,NA,Moth,Order,Herbivore,Unknown,NA,Unknown,Develops_Wings,NA,
10,No_Sample,Medium_Black_Beetle,Insecta,Coleoptera,NA,NA,NA,NA,Beetle,Order,Unknown,Unknown,NA,Unknown,Always_Winged,NA,
11,No_Sample,Pale_Fly,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
12,No_Sample,Red_Fly,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
13,No_Sample,Black_Jumping_Spider,Arachnida,Araneae,Salticidae,NA,NA,NA,Jumping_Spider,Family,Predator,NA,Active_Hunting,Unknown,Wingless,NA,
14,No_Sample,Small_Ant_2,Insecta,Hymenoptera,Formicidae,NA,NA,NA,Ant,Family,Unknown,Unknown,NA,Unknown,Polymorphic,NA,
15,No_Sample,Spider_Brown,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,Wingless,NA,
16,No_Sample,Brown/Orange_Leaf_Hopper,Insecta,Hemiptera,Cicadellidae,NA,NA,NA,Leafhopper,Family,Herbivore,Unknown,NA,Unknown,Develops_Wings,NA,
17,No_Sample,Small_Yellow_Butterfly,Insecta,Lepidoptera,Pieridae, Terias,NA,NA,Butterfly,Genus,Herbivore,Unknown,NA,Unknown,Develops_Wings,NA,
18,No_Sample,Spider_Medium_Mottled,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,Wingless,NA,
19,No_Sample,Spider_Brown_2,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,Wingless,NA,
20,No_Sample,Little_Hemi,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,Unknown,NA,Unknown,Unknown,NA,
21,No_Sample,Fly_Unknown,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
22,No_Sample,Fly_Unknown2,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
23,No_Sample,Moth_Unknown,Insecta,Lepidoptera,NA,NA,NA,NA,Moth,Order,Herbivore,Unknown,NA,Unknown,Develops_Wings,NA,
24,No_Sample,Brown_Round_Beetle,Insecta,Coleoptera,NA,NA,NA,NA,Beetle,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
25,No_Sample,Coleoptera_Oval_Black,Insecta,Coleoptera,NA,NA,NA,NA,Beetle,Order,Unknown,Unknown,NA,Unknown,Develops_Wings,NA,
26,No_Sample,Dark_Mirid_Red_Eyes,Insecta,Hemiptera,Miridae,NA,NA,NA,Mirid,Family,Herbivore,Unknown,NA,Unknown,Develops_Wings,NA,
