Site,Morphospecies,Stage,Wings,Obs_ID,Notes
S2_F3_P6,Black_Psylloid,Adult,Yes,379,
S2_F3_P6,Black_Psylloid,Adult,Yes,380,
S2_F3_P6,Whitefly,Adult,Yes,381,
S2_F3_P6,Whitefly,Adult,Yes,382,
S2_F3_P6,Whitefly,Adult,Yes,383,
S2_F3_P6,Whitefly,Adult,Yes,384,
S2_F3_P6,Aphid_Green,Adult,No,385,
S2_F3_P6,Aphid_Green,Adult,No,386,
S2_F3_P7,Aphid_Green,Adult,No,387,
S2_F3_P7,Fly_Orange,Adult,Yes,388,
S2_F3_P7,Black_Psylloid,Adult,Yes,389,
S2_F3_P7,Minute_Brown_Scavenger_Beetle_sp._1,Adult,Yes,390,
S2_F3_P7,Minute_Brown_Scavenger_Beetle_sp._1,Adult,Yes,391,
S2_F3_P8,Dark_Mottled_Spider,Adult,No,392,
S2_F3_P8,Black_Psylloid,Adult,Yes,393,
S2_F3_P8,Aphid_Green,Adult,No,394,
S2_F3_P8,Sheet_Dwarf_sp.,Adult,No,395,
S2_F3_P8,Small_Fly,Adult,Yes,396,
S2_F3_P9,Aphid_Green,Adult,No,397,
S2_F3_P9,Black_Psylloid,Adult,Yes,398,
S2_F3_P9,Sword_Tailed_Cricket_Sp.,Adult,No,399,
S2_F3_P9,Typical_Orbweaver_sp.,Adult,No,400,
S2_F3_P10,Aphid_Green,Adult,No,401,
S2_F3_P10,Aphid_Green,Adult,No,402,
S2_F3_P10,Black_Psylloid,Adult,Yes,403,
S2_F3_P10,Whitefly,Adult,Yes,404,
S2_F3_P10,Whitefly,Adult,Yes,405,
S2_F3_P10,Minute_Brown_Scavenger_Beetle_sp._1,Adult,Yes,406,
S2_F3_P10,Red_Hemiptera,Adult,No,407,
S2_F3_P10,Small_Brown_Spider,Adult,No,408,
S2_F3_P15,Black_Psylloid,Adult,Yes,409,
S2_F3_P15,Black_Psylloid,Adult,Yes,410,
S2_F3_P15,Black_Psylloid,Adult,Yes,411,
S2_F3_P15,Black_Psylloid,Adult,Yes,412,
S2_F3_P15,Whitefly,Adult,Yes,413,
S2_F3_P15,Whitefly,Adult,Yes,414,
S2_F3_P15,Small_Brown_Spider_2,Adult,No,415,
S2_F3_P14,Small_Brown_Spider_3,Adult,No,416,
S2_F3_P14,Whitefly,Adult,Yes,417,
S2_F3_P13,Lean_Lynx_Spider,Adult,No,418,
S2_F3_P13,Brown_Spider,Adult,No,419,
S2_F3_P13,Brown_Spider,Adult,No,420,
S2_F3_P13,Dark_Mottled_Spider,Adult,No,421,
S2_F3_P13,Small_Fly,Adult,Yes,422,
S2_F3_P12,Angulate_and_Roundshouldered_Orbweavers_Sp._2,Adult,No,423,
S2_F3_P12,Orb_Weaving_Small,Adult,No,424,
S2_F3_P12,Honey_Bee,Adult,Yes,425,
S2_F3_P12,Brown_Spider_Small,Adult,No,426,
S2_F3_P12,Black_Psylloid,Adult,Yes,427,
S2_F3_P12,Aphid_Green,Adult,No,428,
S2_F3_P12,Non-biting_Midge_Sp._1,Adult,Yes,429,
S2_F3_P11,Aphid_Green,Adult,No,430,
S2_F3_P11,Small_Hemi_Red,Adult,,431,
S2_F3_P11,Seed_Bugs&Allies_sp.,Adult,Yes,432,
S2_F3_P11,Sword_Tailed_Cricket_Sp.,Adult,No,433,
S2_F3_P11,White_Butterfly,Adult,Yes,434,
S2_F3_P11,Black_Psylloid,Adult,Yes,435,
S2_F3_P11,Orb_Weaver_Pale,Adult,No,436,
S2_F3_P16,Brown_Spider,Adult,No,437,
S2_F3_P16,Hemi_Light,Adult,Yes,438,
S2_F3_P16,Black_Psylloid,Adult,Yes,439,
S2_F3_P16,Seed_Bugs&Allies_sp.2,Adult,Yes,440,
S2_F3_P16,Black_Brown_Spider,Adult,No,441,
S2_F3_P16,Medium_Spider,Adult,No,442,
S2_F3_P17,Aphid_Green,Adult,No,443,
S2_F3_P17,Small_Brown_Spider,Adult,No,444,
S2_F3_P17,Black_Psylloid,Adult,Yes,445,
S2_F3_P17,Brown_Spider,Adult,No,446,
S2_F3_P17,Fly_Orange,Adult,Yes,447,
S2_F3_P18,Black_Psylloid,Adult,Yes,448,
S2_F3_P19,Brown_Spider,Adult,No,449,
S2_F3_P19,Hemi_Light,Adult,Yes,450,
S2_F3_P19,Brown_Spider,Adult,No,451,
S2_F3_P19,Sheet_Dwarf_sp._2,Adult,No,452,
S2_F3_P20,Black_Psylloid,Adult,Yes,453,
S2_F3_P20,Whitefly,Adult,Yes,454,
S2_F3_P20,Whitefly,Adult,Yes,455,
S2_F3_P20,Whitefly,Adult,Yes,456,
S2_F3_P20,Typical_Orbweaver_sp.,Adult,No,457,
S2_F3_P20,Angulate_and_Roundshouldered_Orbweavers_Sp._3,Adult,No,458,
S2_F3_P20,Brown_Spider,Adult,No,459,
S2_F3_P20,Triangular_Headed_Spider,Adult,No,460,
S2_F3_P20,Spur-throated_Locust,Adult,Yes,461,
S2_F3_P5,Whitefly,Adult,Yes,462,
S2_F3_P5,Whitefly,Adult,Yes,463,
S2_F3_P5,Red_Blue_Beetle,Adult,Yes,464,
S2_F3_P5,Hemi_Light,Adult,Yes,465,
S2_F3_P5,Hemi_Light,Adult,Yes,466,
S2_F3_P5,Hemi_Light,Adult,Yes,467,
S2_F3_P5,Sheet_Dwarf_sp.,Adult,No,468,
S2_F3_P5,Spider_Unknown,Adult,No,469,
S2_F3_P4,Whitefly,Adult,Yes,470,
S2_F3_P4,Typical_Orbweaver_sp.,Adult,No,471,
S2_F3_P4,Seed_Bugs&Allies_sp.,Adult,Yes,472,
S2_F3_P4,Black_Brown_Spider,Adult,No,473,
S2_F3_P3,Typical_Orbweaver_sp.,Adult,No,474,
S2_F3_P3,Whitefly,Adult,Yes,475,
