Site,Survey_Field,Field,Point,Survey,X_Cor,Y_Cor,Plant_Height,Ground_Cover,Spatial_Position,Ground_Cover
S2_F6_P1,S2_F6,6,1,2,1,3,70,71.1,Outer,71
S2_F6_P2,S2_F6,6,2,2,1,2,48,83.14,Outer,83
S2_F6_P3,S2_F6,6,3,2,1,1,46,36.28,Outer,36
S2_F6_P4,S2_F6,6,4,2,2,3,42,81.91,Outer,82
S2_F6_P5,S2_F6,6,5,2,2,2,56,81.12,Inner,81
S2_F6_P6,S2_F6,6,6,2,2,1,45,63.86,Outer,64
S2_F6_P7,S2_F6,6,7,2,3,3,51,84,Outer,84
S2_F6_P8,S2_F6,6,8,2,3,2,53,84.91,Inner,85
S2_F6_P9,S2_F6,6,9,2,3,1,49,80.51,Outer,81
S2_F6_P10,S2_F6,6,10,2,4,3,60,85.6,Outer,86
S2_F6_P11,S2_F6,6,11,2,4,2,53,85.67,Inner,86
S2_F6_P12,S2_F6,6,12,2,4,1,51,80.16,Outer,80
S2_F6_P13,S2_F6,6,13,2,5,3,59,80.65,Outer,81
S2_F6_P14,S2_F6,6,14,2,5,2,58,86.09,Inner,86
S2_F6_P15,S2_F6,6,15,2,5,1,48,79.71,Outer,80
S2_F6_P16,S2_F6,6,16,2,6,3,42,87.27,Outer,87
S2_F6_P17,S2_F6,6,17,2,6,2,41,89.53,Inner,90
S2_F6_P18,S2_F6,6,18,2,6,1,56,78.1,Outer,78
S2_F6_P19,S2_F6,6,19,2,7,3,73,82.62,Outer,83
S2_F6_P20,S2_F6,6,20,2,7,2,62,84.54,Outer,85
S2_F6_P21,S2_F6,6,21,2,7,1,51,69.06,Outer,69
S3_F7_P1,S3_F7,7,1,3,1,4,47,76.86,Outer,77
S3_F7_P2,S3_F7,7,2,3,1,3,57,85.55,Outer,86
S3_F7_P3,S3_F7,7,3,3,1,2,55,83.58,Outer,84
S3_F7_P4,S3_F7,7,4,3,1,1,64,81.58,Outer,82
S3_F7_P5,S3_F7,7,5,3,2,4,58,76.23,Outer,76
S3_F7_P6,S3_F7,7,6,3,2,3,63,81.81,Inner,82
S3_F7_P7,S3_F7,7,7,3,2,2,68,84.51,Inner,85
S3_F7_P8,S3_F7,7,8,3,2,1,52,67.26,Outer,67
S3_F7_P9,S3_F7,7,9,3,3,4,66,85.13,Outer,85
S3_F7_P10,S3_F7,7,10,3,3,3,54,88.21,Inner,88
S3_F7_P11,S3_F7,7,11,3,3,2,62,82.65,Inner,83
S3_F7_P12,S3_F7,7,12,3,3,1,48,83.99,Outer,84
S3_F7_P13,S3_F7,7,13,3,4,4,53,80.39,Outer,80
S3_F7_P14,S3_F7,7,14,3,4,3,56,84.35,Inner,84
S3_F7_P15,S3_F7,7,15,3,4,2,57,73.65,Inner,74
S3_F7_P16,S3_F7,7,16,3,4,1,63,69.73,Outer,70
S3_F7_P17,S3_F7,7,17,3,5,4,53,83.72,Outer,84
S3_F7_P18,S3_F7,7,18,3,5,3,42,62.83,Inner,63
S3_F7_P19,S3_F7,7,19,3,5,2,56,81.07,Inner,81
S3_F7_P20,S3_F7,7,20,3,5,1,54,85.45,Outer,85
S3_F7_P21,S3_F7,7,21,3,6,4,56,70.37,Outer,70
S3_F7_P22,S3_F7,7,22,3,6,3,53,68.82,Inner,69
S3_F7_P23,S3_F7,7,23,3,6,2,61,85.96,Inner,86
S3_F7_P24,S3_F7,7,24,3,6,1,49,86.1,Outer,86
S3_F7_P25,S3_F7,7,25,3,7,4,57,78.12,Outer,78
S3_F7_P26,S3_F7,7,26,3,7,3,57,72.77,Outer,73
S3_F7_P27,S3_F7,7,27,3,7,2,57,71.74,Outer,72
S3_F7_P28,S3_F7,7,28,3,7,1,52,87.23,Outer,87
S4_F8_P1,S4_F8,8,1,4,3,7,42,81.87,Outer,82
S4_F8_P2,S4_F8,8,2,4,2,7,43,87.75,Outer,88
S4_F8_P3,S4_F8,8,3,4,1,7,46,78.5,Outer,79
S4_F8_P4,S4_F8,8,4,4,3,6,48,83.25,Outer,83
S4_F8_P5,S4_F8,8,5,4,2,6,44,81.43,Inner,81
S4_F8_P6,S4_F8,8,6,4,1,6,44,78.59,Outer,79
S4_F8_P7,S4_F8,8,7,4,2,5,46,82.02,Outer,82
S4_F8_P8,S4_F8,8,8,4,1,5,43,69.9,Outer,70
S4_F8_P9,S4_F8,8,9,4,3,4,44,84.81,Outer,85
