ID,Field,Survey,Sample_Date,Julian_date,Day_Sampled,TMin_Day,TMax_Day,TMin_Week,Tmax_Week,RH9am_Day,RH3pm_Day,RH9am_Week,RH3pm_Week,Wind_Speed_Max (km/h),Rainfall_Week,Date_Planted,Crop_Age_Days,Potato_Varient_1,Potato_Varient_2,Field_Area_m2,Average_Height,Average_GC,500m_Prop_Water,500m_Prop_Crops,500m_Prop_Nat_Graze,500m_Prop_Build,1km_Prop_Water,1km_Prop_Crops,1km_Prop_Nat_Graze,1km_Prop_Build,1km_Prop_Nat,NDVIsum_Field,NDVImean_Field,NDVIsum_500m,NDVImean_500m,NDVIsum_1km,NDVImean_1km,1km_Rip_Prop,500m_Rip_Prop,Notes
S1_F3,3,1,21_05_2024,45433,0,5.1,24,9.7,23.5,69,48,80.4,53.4,20,11.8,22_03_24,61,Crop_77,NA,64020.28,41.57142857,70.78214286,0,96.35,3.65,0,8.83,74.17,13.02,3.98,0,33.05,0.47,209.68,0.24,914.2,0.26,2.53,0.00,Crop age includes day of surveying for all 
S2_F3,3,2,12_06_2024,45455,22,6.7,24,6.66,21.79,57,35,67.57,39.14,56,0,22_03_24,83,Crop_77,NA,64020.28,52.96,74.48709228,0,96.35,3.65,0,8.83,74.17,13.02,3.98,0,31.03,0.44,204.33,0.23,747.9,0.21,2.53,0.00,
S2_F6,6,2,13_06_2024,45456,23,7.9,20.8,6.5,21.81,56,30,64.71,36.86,26,0,18_03_24,88,Snowden,NA,48460.14,53.04761905,78.84944325,5.75,94.08,0,0.17,5.23,87.86,4.78,2.13,0,23.34,0.43,137.35,0.16,611.28,0.18,3.20,3.34,
S3_F7,7,3,3_07_2024,45476,43,12.4,18,11.66,21.84,90,69,90.86,67.29,31,27.2,23_03_24,103,SBA_09,SBA_11,64792.9,56.07142857,79.2738696,0,99.92,0.08,0,1.78,80.15,16.38,0,1.69,29.54,0.4,192.57,0.22,783.52,0.22,0.00,0.00,
S4_F8,8,4,29_07_2024,45502,69,5.8,18.9,6.66,22.53,55,27,79.71,42.57,44,1.2,28_05_24,63,Saginaw_Chipper,NA,41306.81,45.4,80.48468054,10.99,87.87,0,1.14,5.43,92.44,0,2.13,0,20.53,0.45,176.8,0.2,708.54,0.2,3.85,7.27,
S4_F9,9,4,30_07_2024,45503,70,-0.08,20.8,6.2,22.33,58,27,77,42.14,26,1.2,10_06_24,51,Winterest,NA,55177.62,26.79166667,45.91664671,4.18,95.82,0,0,8.36,89.42,2.1,0.12,0,19.87,0.32,209.48,0.24,749.01,0.21,5.61,2.50,
S5_F8,8,5,15_08_2024,45519,86,16.9,26.9,13.01,22.5,87,60,85.43,74.71,20,30,28_05_24,80,Saginaw_Chipper,NA,41306.81,47.2,90.99780653,10.99,87.87,0,1.14,5.43,92.44,0,2.13,0,22.68,0.49,248.58,0.28,873.23,0.25,3.85,7.27,
S6_F8,8,6,12_09_2024,45547,114,14.6,27.6,11.33,29.39,75,86,67.57,45.71,37,6.6,28_05_24,109,Saginaw_Chipper,,41306.81,44.95,65.34517878,10.99,87.87,0,1.14,5.43,92.44,0,2.13,0,14.28,0.31,268.79,0.31,788.79,0.23,3.85,7.27,
S6_F10,10,6,13_09_2024,45548,115,11.4,23.3,11.87,28.81,70,46,67.57,47.14,44,8.8,14_07_24,62,Saginaw_Chipper,Winterset,25221.32,33.8,68.91510833,9.61,90.39,0,0,9.16,90.85,0,0,0,12.83,0.44,244.15,0.28,864.09,0.25,6.21,6.68,
S6_F11,11,6,13_09_2024,45548,115,11.4,23.3,11.87,28.81,70,46,67.57,47.14,44,8.8,8_07_24,68,Snowden,NA,17865.22,42.85714286,82.49569956,19.24,80.76,0,0,10.12,89.88,0,0,0,8.21,0.43,249.03,0.29,891.59,0.26,6.99,12.65,Triangular block
S7_F12,12,7,3_10_2024,45568,135,9.6,25.1,12.09,26.61,48,40,66.14,45.14,37,27.8,27_06_24,99,SBA_09,NA,53781.13,48.52380952,81.03421445,9.54,89.47,0,1,5.06,91.45,1.36,2.13,0,9.1,0.15,92.02,0.11,421.68,0.12,3.58,6.38,"The field next to this one was being harvested while I surveyed, I suspect that many invertebrates took refuge on the edge of this field in response to this"
S7_F10,10,7,4_10_2024,45569,136,6.7,26.7,10.79,27.06,57,24,62,45.14,19,10,14_07_24,83,Saginaw_Chipper,Winterset,25221.32,40.9,88.01148239,9.61,90.39,0,0,9.16,90.85,0,0,0,12.67,0.44,197.59,0.23,626.92,0.18,6.21,6.68,
S8_F10,10,8,24_10_2024,45589,156,16.7,35.2,17.4,32.64,64,32,58.71,41.14,39,0,14_07_24,103,Saginaw_Chipper,Winterset,25221.32,43.7,47.58221193,9.61,90.39,0,0,9.16,90.85,0,0,0,8.87,0.31,209.1,0.24,1076.32,0.31,6.21,6.68,
S8_F13,13,8,25_10_2024,45590,157,19.8,30.6,17.53,32.49,36,12,55.71,33.29,41,0,17_07_24,101,SBA_09,SBA_11,77347.24,59.79310345,30.43020632,12.61,85.3,0,2.09,6.07,91.8,0,2.13,0,23.03,0.27,249.23,0.28,868.81,0.25,4.51,9.20,
